Date,High,Low,Adj_Close,Change
2007-07-30,76.52999877929688,75.44000244140625,75.73999786376953,0.0
2007-07-31,77.16999816894531,75.66999816894531,77.05000305175781,1.73
2007-08-01,77.05999755859375,74.86000061035156,75.3499984741211,-2.21
2007-08-02,76.20999908447266,74.2699966430664,75.76000213623047,0.54
2007-08-03,76.0,74.52999877929688,74.75,-1.33
2007-08-06,74.5999984741211,70.87000274658203,71.16999816894531,-4.79
2007-08-07,72.01000213623047,70.55999755859375,71.80000305175781,0.89
2007-08-08,72.02999877929688,70.66000366210938,70.98999786376953,-1.13
2007-08-09,71.08000183105469,69.2699966430664,70.20999908447266,-1.1
2007-08-10,70.44999694824219,68.97000122070312,70.38999938964844,0.26
2007-08-13,71.83000183105469,69.9000015258789,70.2300033569336,-0.23
2007-08-14,70.80000305175781,69.61000061035156,70.51000213623047,0.4
2007-08-15,72.19999694824219,70.83000183105469,71.63999938964844,1.6
2007-08-16,70.62000274658203,69.05000305175781,69.7699966430664,-2.61
2007-08-17,71.06999969482422,70.04000091552734,70.44000244140625,0.96
2007-08-20,70.31999969482422,68.94000244140625,69.8499984741211,-0.84
2007-08-21,70.51000213623047,68.18000030517578,68.69000244140625,-1.66
2007-08-22,69.36000061035156,68.19000244140625,68.69999694824219,0.01
2007-08-23,69.97000122070312,69.11000061035156,69.86000061035156,1.69
2007-08-24,70.80999755859375,69.5199966430664,70.62000274658203,1.09
2007-08-27,71.11000061035156,69.48999786376953,70.94999694824219,0.47
2007-08-28,71.05000305175781,70.19999694824219,70.55000305175781,-0.56
2007-08-29,72.26000213623047,70.7699966430664,72.12999725341797,2.24
2007-08-30,72.45999908447266,71.37999725341797,71.9000015258789,-0.32
2007-08-31,73.05999755859375,72.05000305175781,72.69000244140625,1.1
2007-09-04,74.05000305175781,72.80000305175781,73.91999816894531,1.69
2007-09-05,74.37999725341797,73.76000213623047,74.33999633789062,0.57
2007-09-06,75.63999938964844,73.75,74.7699966430664,0.58
2007-09-07,75.22000122070312,74.27999877929688,75.06999969482422,0.4
2007-09-10,75.73999786376953,73.86000061035156,75.4800033569336,0.55
2007-09-11,76.4000015258789,74.98999786376953,76.37999725341797,1.19
2007-09-12,77.8499984741211,76.27999877929688,77.68000030517578,1.7
2007-09-13,77.27999877929688,76.30000305175781,77.12000274658203,-0.72
2007-09-14,77.23999786376953,76.06999969482422,76.22000122070312,-1.17
2007-09-17,77.04000091552734,75.54000091552734,76.9800033569336,1.0
2007-09-18,78.33000183105469,76.33000183105469,77.58999633789062,0.79
2007-09-19,78.55999755859375,77.45999908447266,78.47000122070312,1.13
2007-09-20,79.2699966430664,77.81999969482422,79.08999633789062,0.79
2007-09-21,79.94999694824219,78.4800033569336,79.30000305175781,0.27
2007-09-24,79.47000122070312,78.2300033569336,78.91000366210938,-0.49
2007-09-25,78.4800033569336,77.19000244140625,77.62000274658203,-1.63
2007-09-26,78.27999877929688,76.37999725341797,77.43000030517578,-0.24
2007-09-27,80.18000030517578,78.01000213623047,80.02999877929688,3.36
2007-09-28,81.02999877929688,78.91999816894531,79.16999816894531,-1.07
2007-10-01,78.94000244140625,76.94000244140625,77.63999938964844,-1.93
2007-10-02,77.44999694824219,76.33000183105469,77.37999725341797,-0.33
2007-10-03,77.80999755859375,76.87000274658203,77.37999725341797,0.0
2007-10-04,79.23999786376953,76.55999755859375,78.97000122070312,2.05
2007-10-05,79.08000183105469,78.19000244140625,78.9000015258789,-0.09
2007-10-08,78.33999633789062,76.16000366210938,76.58000183105469,-2.94
2007-10-09,78.16000366210938,75.66999816894531,77.48999786376953,1.19
2007-10-10,78.6500015258789,76.98999786376953,78.5999984741211,1.43
